Date,AirT,AirTMax,AirTMin,AirTMmx,AirTMmn,Prec,SlrT,ParT,NetR,Wspd,Wres,Wdir,Gspd,S10T
2002,8.4,14,3.5,33.7,-17.4,1111,13.4,NA,NA,1.7,0.4,242,20.8,10.7
2003,7.4,12.8,2.4,33.3,-23.2,1310,12.5,NA,NA,1.7,0.3,241,19.2,10.4
2004,7.5,13,2.5,31,-25.6,1163,13.1,27.1,51.5,1.7,0.4,251,20.7,10.7
2005,8.1,13.6,3.1,32.6,-24.9,1426,12.6,25.1,47.1,1.6,0.2,253,18,10.7
2006,9,14.2,4.2,33.7,-18.7,1095,11.6,25.2,51.6,1.7,0.3,246,21.7,11
2007,7.8,13.3,2.8,32.5,-21.1,1139,12.4,27.4,52.5,1.6,0.4,254,19.3,10.8
2008,8,13.4,3,34.1,-20.2,1565,12.7,24.3,50.2,1.6,0.3,236,18.6,10.9
2009,7.6,13,2.7,32.5,-21.4,1278,12.9,22.1,48.7,1.6,0.3,251,19.9,11.2
2010,9,14.4,4.1,34.4,-20.3,1108,13,23.9,53.6,1.6,0.3,277,20.9,11.4
2011,8.7,14.1,3.9,35.6,-26,1619,12,26,48.9,1.6,0.3,231,18.8,11.4
2012,9.5,15,4.6,33.9,-19.1,883,12.7,25.4,56.2,1.5,0.3,237,20.2,11.5
